energy [keV]	[[14, 13], 1]	[[15, 13], 2]	[[15, 12], 3]	[[16, 13], 3]	[[15, 11], 4]	[[16, 12], 4]	[[17, 13], 4]	[[16, 11], 5]	[[17, 12], 5]	[[18, 13], 5]	[[16, 10], 6]	[[17, 11], 6]	[[18, 12], 6]	[[17, 10], 7]	[[18, 11], 7]	[[19, 12], 7]	[[18, 10], 8]	[[19, 11], 8]	[[18, 9], 9]	[[19, 10], 9]	[[20, 11], 9]	[[19, 9], 10]	[[20, 10], 10]	
10.373000145	1.44028555937	1.60953011014	1.37480323551	1.54674874854	1.24511963029	1.4894794722	1.44451470239	1.48643217405	1.48086184469	1.33409278061	1.39193434854	1.6210768232	1.47711475267	1.63654445114	1.65514581392	1.63785694224	1.65446720219	1.63575173822	1.7892979223	1.52086971106	1.37477959789	1.44969647419	1.43695528295	
10.3739995956	1.49154664679	1.61126750757	1.45048939641	1.58426793747	1.3783594829	1.54784838578	1.57603076157	1.56972251725	1.5564368692	1.49221339925	1.49668330743	1.62232605842	1.54137662229	1.65456333745	1.63055573126	1.81333398748	1.71579532738	1.65052258148	1.90134254671	1.53639571071	1.485976344	1.48055932578	1.53454787464	
10.375	1.68432298085	1.82321624106	1.59344144561	1.74942640484	1.53892134392	1.68932708864	1.9015064675	1.69808426316	1.80742453735	1.66725319737	1.6271728528	1.67222349326	1.64497110972	1.53101151744	1.66781852717	1.56998549786	1.67936714955	1.51187247195	1.82637555612	1.61260949855	1.2442041165	1.81661512107	1.4609160719	
10.3760004044	1.69848924084	1.78197487577	1.53090296588	1.85188175475	1.46187485381	1.61579183966	1.73772595957	1.51600369629	1.67339775289	1.63274085084	1.392958617	1.69032355559	1.57492385085	1.72832533146	1.5744760508	1.54495521699	1.69149673216	1.44622228897	1.94405723486	1.53270218805	1.29664157615	1.79766939562	1.45320442453	
10.376999855	1.50755915532	1.70096111934	1.637710719	1.7761282081	1.69987541016	1.64279429328	1.77535996385	1.64230355846	1.64711894477	1.67498516166	1.59207433474	1.63503907921	1.61256010827	1.63197005698	1.54955045039	1.87680056481	1.60909255233	1.57023330918	1.83855891699	1.47763154752	1.50174679304	1.51059848564	1.40809851794	
10.3780002594	1.57909327279	1.63678072637	1.60572423434	1.71374536227	1.64293622728	1.6873217505	1.90201613442	1.70147465748	1.6531820633	1.66633494374	1.64690890269	1.54691690588	1.56117434677	1.37125988204	1.54595327905	1.59173074247	1.65679376358	1.45757189174	1.85949785648	1.45300908639	1.54291826057	1.67434838222	1.49161001108	
10.3789997101	1.67757010932	1.711609809	1.68241547296	1.83411633877	1.7254104732	1.6844481387	1.67092058043	1.50728441296	1.57149208285	1.66244498139	1.41727807601	1.6437885859	1.55880558758	1.67052298751	1.55214205348	1.61429816126	1.58337027764	1.56682405966	1.8758407686	1.44708013265	1.25684762192	1.55027025658	1.38217293626	
10.3800001144	1.36057245808	1.55945332047	1.51709155882	1.71388365627	1.5870900255	1.52989310582	1.83770116699	1.40380049634	1.58081380405	1.72285503318	1.23143502631	1.37353873809	1.52567711818	1.15178084667	1.44279103178	1.57356618691	1.38353556948	1.42311362931	1.44148901553	1.39683222499	1.22975804952	1.53495670032	1.41134200931	
10.3809995651	1.52955322282	1.5458953149	1.42531214379	1.56759838271	1.4574722384	1.46429516972	1.4865773516	1.48343388462	1.42999538441	1.29132406032	1.40747130395	1.45089308324	1.35798343581	1.41882268107	1.34854895491	1.37147935709	1.3587641479	1.27020555774	1.51303319466	1.2485777105	1.1166789279	1.38474435263	1.17625882855	
10.3819999695	1.26901777078	1.39983865636	1.34133849588	1.42806763291	1.38741041571	1.28713085581	1.33879547102	1.19695955155	1.31780248343	1.30970205978	1.0229739574	1.35807944511	1.30681433244	1.3118463541	1.32088240652	1.3570265047	1.30965462109	1.25140997733	1.31572779265	1.23124322818	1.23215293017	1.20217481378	1.15883108371	
